Fecha,NFactura,Vendedor,Cliente,Producto,Lote,Cantidad,PrecioUnitario,CostoUnitario,Categoria,StockInicial,StockFinal,Bodega
2023-08-09,F00010,María López,Logística Andes,Sellador Epóxico,L230817,1,13687,9043,Químicos,2,1,Bodega Sur
2023-08-09,F00010,María López,Logística Andes,Sellador Epóxico,L230813,1,13687,9043,Químicos,2,1,Bodega Sur
2023-08-09,F00011,Ana Torres,MetalMaq Ltda,Removedor de Ceras,L230828,10,8667,5251,Solventes,52,42,Bodega Centro
2023-08-10,F00012,Ana Torres,Comercial FríoSur,Removedor de Ceras,L230819,1,8672,5416,Solventes,5,4,Bodega Centro
2023-08-10,F00012,Ana Torres,Comercial FríoSur,Removedor de Ceras,L230826,1,8672,5416,Solventes,2,1,Bodega Centro
2023-08-10,F00012,Ana Torres,Comercial FríoSur,Solvente Multiuso,L230802,22,7190,5005,Solventes,57,35,Bodega Centro
2023-08-10,F00013,Juan Pérez,Distribuidora Austral,Removedor de Ceras,L230804,5,8430,5297,Solventes,15,10,Bodega Sur
2023-08-10,F00014,María López,Alimentos Andinos,Solvente Multiuso,L230826,14,7293,4542,Solventes,47,33,Bodega Sur
2023-08-10,F00014,María López,Alimentos Andinos,Sellador Epóxico,L230812,2,12066,9353,Químicos,2,0,Bodega Sur
2023-08-11,F00015,María López,Comercial FríoSur,Detergente Alcalino,L230819,17,4006,2481,Limpieza,46,29,Bodega Norte
2023-08-11,F00015,María López,Comercial FríoSur,Detergente Enzimático,L230810,42,6232,3848,Limpieza,162,120,Bodega Norte
2023-08-11,F00015,María López,Comercial FríoSur,Solvente Multiuso,L230825,6,7360,5025,Solventes,25,19,Bodega Norte
2023-08-11,F00015,María López,Comercial FríoSur,Solvente Multiuso,L230814,11,7360,5025,Solventes,37,26,Bodega Norte
2023-08-11,F00015,María López,Comercial FríoSur,Desinfectante Amonio,L230806,33,5356,3239,Limpieza,60,27,Bodega Norte
2023-08-11,F00016,María López,Química Valpo,Removedor de Ceras,L230828,10,8472,5561,Solventes,24,14,Bodega Centro
2023-08-11,F00016,María López,Química Valpo,Sellador Epóxico,L230828,12,13649,8596,Químicos,27,15,Bodega Centro
2023-08-11,F00016,María López,Química Valpo,Solvente Multiuso,L230827,22,7547,4731,Solventes,101,79,Bodega Centro
2023-08-11,F00017,Juan Pérez,Supermercados Nova,Desengrasante Industrial,L230822,16,4861,3198,Químicos,51,35,Bodega Centro
2023-08-11,F00017,Juan Pérez,Supermercados Nova,Sellador Epóxico,L230810,6,12465,8471,Químicos,23,17,Bodega Centro
2023-08-11,F00017,Juan Pérez,Supermercados Nova,Aditivo Antiespuma,L230818,24,5785,3707,Químicos,72,48,Bodega Centro
2023-08-12,F00018,María López,Servicios Mineros Z,Solvente Multiuso,L230825,18,7792,4378,Solventes,25,7,Bodega Sur
2023-08-12,F00018,María López,Servicios Mineros Z,Removedor de Ceras,L230816,1,8759,5548,Solventes,1,0,Bodega Sur
2023-08-12,F00018,María López,Servicios Mineros Z,Detergente Enzimático,L230804,40,5892,4179,Limpieza,125,85,Bodega Sur
2023-08-14,F00019,Ana Torres,Servicios Mineros Z,Desengrasante Industrial,L230827,29,4703,3260,Químicos,83,54,Bodega Norte
2023-08-14,F00020,Ana Torres,MetalMaq Ltda,Desengrasante Industrial,L230827,9,5172,2876,Químicos,28,19,Bodega Centro
2023-08-14,F00020,Ana Torres,MetalMaq Ltda,Desengrasante Industrial,L230825,1,5172,2876,Químicos,4,3,Bodega Centro
2023-08-15,F00021,Juan Pérez,Alimentos Andinos,Detergente Alcalino,L230802,19,4203,2239,Limpieza,50,31,Bodega Norte
2023-08-15,F00022,María López,Química Valpo,Detergente Alcalino,L230811,23,4222,2430,Limpieza,56,33,Bodega Centro
2023-08-15,F00022,María López,Química Valpo,Removedor de Ceras,L230803,1,9200,5283,Solventes,4,3,Bodega Centro
2023-08-15,F00022,María López,Química Valpo,Aditivo Antiespuma,L230814,34,5865,3710,Químicos,113,79,Bodega Centro
2023-08-15,F00023,Juan Pérez,Comercial FríoSur,Detergente Alcalino,L230829,20,3955,2396,Limpieza,43,23,Bodega Centro
2023-08-15,F00023,Juan Pérez,Comercial FríoSur,Removedor de Ceras,L230812,1,8408,5165,Solventes,4,3,Bodega Centro
2023-08-15,F00024,Pedro Ruiz,Retail Pacífico,Desinfectante Amonio,L230819,21,5368,3146,Limpieza,117,96,Bodega Norte
2023-08-15,F00024,Pedro Ruiz,Retail Pacífico,Removedor de Ceras,L230808,6,9576,5230,Solventes,20,14,Bodega Norte
2023-08-15,F00024,Pedro Ruiz,Retail Pacífico,Sellador Epóxico,L230824,2,12010,9364,Químicos,5,3,Bodega Norte
2023-08-15,F00025,Juan Pérez,Servicios Mineros Z,Removedor de Ceras,L230807,5,9491,5130,Solventes,7,2,Bodega Centro
2023-08-15,F00025,Juan Pérez,Servicios Mineros Z,Detergente Alcalino,L230818,1,4157,2292,Limpieza,1,0,Bodega Centro
2023-08-16,F00026,Juan Pérez,Logística Andes,Removedor de Ceras,L230817,8,8579,5485,Solventes,16,8,Bodega Centro
2023-08-16,F00026,Juan Pérez,Logística Andes,Removedor de Ceras,L230824,1,8579,5485,Solventes,2,1,Bodega Centro
2023-08-16,F00027,Ana Torres,MetalMaq Ltda,Aditivo Antiespuma,L230808,61,5714,3307,Químicos,210,149,Bodega Sur
2023-08-16,F00027,Ana Torres,MetalMaq Ltda,Solvente Multiuso,L230827,7,7681,4710,Solventes,9,2,Bodega Sur
2023-08-16,F00028,María López,Química Valpo,Sellador Epóxico,L230823,6,12510,9367,Químicos,19,13,Bodega Norte
2023-08-16,F00028,María López,Química Valpo,Detergente Enzimático,L230817,70,6332,4095,Limpieza,174,104,Bodega Norte
2023-08-16,F00028,María López,Química Valpo,Solvente Multiuso,L230815,12,7730,4492,Solventes,44,32,Bodega Norte
2023-08-16,F00028,María López,Química Valpo,Removedor de Ceras,L230813,5,8766,5303,Solventes,10,5,Bodega Norte
2023-08-17,F00029,Juan Pérez,MetalMaq Ltda,Removedor de Ceras,L230821,1,8511,5405,Solventes,2,1,Bodega Centro
2023-08-17,F00029,Juan Pérez,MetalMaq Ltda,Sellador Epóxico,L230819,6,12415,9223,Químicos,8,2,Bodega Centro
2023-08-17,F00029,Juan Pérez,MetalMaq Ltda,Aditivo Antiespuma,L230808,7,6148,3467,Químicos,16,9,Bodega Centro
2023-08-17,F00029,Juan Pérez,MetalMaq Ltda,Aditivo Antiespuma,L230812,13,6148,3467,Químicos,55,42,Bodega Centro
2023-08-17,F00029,Juan Pérez,MetalMaq Ltda,Detergente Enzimático,L230828,30,6548,3631,Limpieza,58,28,Bodega Centro
2023-08-17,F00029,Juan Pérez,MetalMaq Ltda,Solvente Multiuso,L230812,1,7991,4880,Solventes,2,1,Bodega Centro
2023-08-17,F00029,Juan Pérez,MetalMaq Ltda,Solvente Multiuso,L230802,20,7991,4880,Solventes,89,69,Bodega Centro
2023-08-18,F00030,Pedro Ruiz,Supermercados Nova,Detergente Alcalino,L230801,15,3844,2479,Limpieza,83,68,Bodega Centro
2023-08-18,F00030,Pedro Ruiz,Supermercados Nova,Detergente Enzimático,L230820,33,6046,4115,Limpieza,116,83,Bodega Centro
2023-08-18,F00031,María López,Alimentos Andinos,Desengrasante Industrial,L230822,42,4974,3299,Químicos,132,90,Bodega Centro
2023-08-18,F00031,María López,Alimentos Andinos,Solvente Multiuso,L230818,16,7436,4416,Solventes,53,37,Bodega Centro
2023-08-18,F00031,María López,Alimentos Andinos,Desinfectante Amonio,L230815,13,5268,3391,Limpieza,34,21,Bodega Centro
2023-08-18,F00032,Ana Torres,Retail Pacífico,Desinfectante Amonio,L230809,15,5450,3084,Limpieza,50,35,Bodega Norte
2023-08-18,F00032,Ana Torres,Retail Pacífico,Sellador Epóxico,L230810,15,13345,8837,Químicos,63,48,Bodega Norte
2023-08-18,F00032,Ana Torres,Retail Pacífico,Detergente Alcalino,L230810,15,4166,2249,Limpieza,38,23,Bodega Norte
2023-08-18,F00032,Ana Torres,Retail Pacífico,Detergente Enzimático,L230803,33,5828,4157,Limpieza,73,40,Bodega Norte
2023-08-18,F00033,María López,Supermercados Nova,Sellador Epóxico,L230814,5,12084,8767,Químicos,10,5,Bodega Sur
2023-08-18,F00033,María López,Supermercados Nova,Desengrasante Industrial,L230813,26,4860,2851,Químicos,77,51,Bodega Sur
2023-08-19,F00034,Ana Torres,Industrias Polar,Desinfectante Amonio,L230813,17,5192,3058,Limpieza,35,18,Bodega Sur
2023-08-19,F00034,Ana Torres,Industrias Polar,Desengrasante Industrial,L230806,61,4595,3057,Químicos,216,155,Bodega Sur
2023-08-19,F00035,Ana Torres,Logística Andes,Detergente Alcalino,L230806,154,3770,2399,Limpieza,644,490,Bodega Centro
2023-08-19,F00036,Juan Pérez,Comercial FríoSur,Detergente Enzimático,L230817,56,6578,3755,Limpieza,282,226,Bodega Sur
2023-08-19,F00036,Juan Pérez,Comercial FríoSur,Detergente Enzimático,L230814,10,6578,3755,Limpieza,47,37,Bodega Sur
2023-08-19,F00036,Juan Pérez,Comercial FríoSur,Removedor de Ceras,L230815,10,9415,5305,Solventes,37,27,Bodega Sur
2023-08-19,F00036,Juan Pérez,Comercial FríoSur,Sellador Epóxico,L230813,8,11911,8481,Químicos,37,29,Bodega Sur
2023-08-21,F00037,Juan Pérez,Alimentos Andinos,Desengrasante Industrial,L230817,23,5274,2852,Químicos,89,66,Bodega Sur
2023-08-21,F00037,Juan Pérez,Alimentos Andinos,Detergente Alcalino,L230829,20,4019,2400,Limpieza,45,25,Bodega Sur
2023-08-21,F00037,Juan Pérez,Alimentos Andinos,Sellador Epóxico,L230805,1,13443,8289,Químicos,4,3,Bodega Sur
2023-08-21,F00037,Juan Pérez,Alimentos Andinos,Removedor de Ceras,L230807,6,8883,5363,Solventes,24,18,Bodega Sur
2023-08-22,F00038,Ana Torres,Logística Andes,Detergente Enzimático,L230812,24,6168,3664,Limpieza,77,53,Bodega Norte
2023-08-22,F00038,Ana Torres,Logística Andes,Detergente Enzimático,L230814,12,6168,3664,Limpieza,22,10,Bodega Norte
2023-08-22,F00038,Ana Torres,Logística Andes,Aditivo Antiespuma,L230805,32,6087,3338,Químicos,36,4,Bodega Norte
2023-08-23,F00039,Pedro Ruiz,Alimentos Andinos,Solvente Multiuso,L230825,1,7146,4994,Solventes,2,1,Bodega Centro
2023-08-23,F00039,Pedro Ruiz,Alimentos Andinos,Solvente Multiuso,L230824,1,7146,4994,Solventes,4,3,Bodega Centro
2023-08-23,F00039,Pedro Ruiz,Alimentos Andinos,Desengrasante Industrial,L230812,42,4832,3174,Químicos,141,99,Bodega Centro
2023-08-23,F00039,Pedro Ruiz,Alimentos Andinos,Desengrasante Industrial,L230811,25,4832,3174,Químicos,96,71,Bodega Centro
2023-08-23,F00040,Ana Torres,Supermercados Nova,Sellador Epóxico,L230810,4,12582,8779,Químicos,13,9,Bodega Centro
2023-08-23,F00040,Ana Torres,Supermercados Nova,Desengrasante Industrial,L230810,2,4631,3189,Químicos,7,5,Bodega Centro
2023-08-23,F00040,Ana Torres,Supermercados Nova,Desengrasante Industrial,L230809,8,4631,3189,Químicos,13,5,Bodega Centro
2023-08-24,F00041,Juan Pérez,Comercial FríoSur,Detergente Alcalino,L230804,11,3995,2223,Limpieza,31,20,Bodega Norte
2023-08-24,F00041,Juan Pérez,Comercial FríoSur,Removedor de Ceras,L230809,5,9657,5574,Solventes,16,11,Bodega Norte
2023-08-25,F00042,María López,Comercial FríoSur,Desinfectante Amonio,L230804,6,5069,3063,Limpieza,13,7,Bodega Sur
2023-08-25,F00043,Ana Torres,Comercial FríoSur,Solvente Multiuso,L230807,23,7260,5020,Solventes,39,16,Bodega Norte
2023-08-25,F00043,Ana Torres,Comercial FríoSur,Detergente Enzimático,L230826,41,6173,3866,Limpieza,163,122,Bodega Norte
2023-08-25,F00043,Ana Torres,Comercial FríoSur,Desinfectante Amonio,L230809,29,5354,3061,Limpieza,61,32,Bodega Norte
2023-08-25,F00044,María López,Alimentos Andinos,Detergente Enzimático,L230814,4,5916,3682,Limpieza,18,14,Bodega Centro
2023-08-25,F00044,María López,Alimentos Andinos,Detergente Enzimático,L230805,33,5916,3682,Limpieza,118,85,Bodega Centro
2023-08-25,F00044,María López,Alimentos Andinos,Desinfectante Amonio,L230805,10,5033,3371,Limpieza,34,24,Bodega Centro
2023-08-25,F00044,María López,Alimentos Andinos,Desengrasante Industrial,L230822,47,4695,3295,Químicos,59,12,Bodega Centro
2023-08-25,F00044,María López,Alimentos Andinos,Desengrasante Industrial,L230825,11,4695,3295,Químicos,38,27,Bodega Centro
2023-08-25,F00044,María López,Alimentos Andinos,Solvente Multiuso,L230805,10,7912,4800,Solventes,34,24,Bodega Centro
2023-08-26,F00045,Ana Torres,Supermercados Nova,Detergente Alcalino,L230813,19,3741,2343,Limpieza,54,35,Bodega Centro
2023-08-26,F00045,Ana Torres,Supermercados Nova,Desinfectante Amonio,L230805,21,5506,3159,Limpieza,33,12,Bodega Centro
2023-08-26,F00046,Juan Pérez,Alimentos Andinos,Sellador Epóxico,L230822,2,11950,8852,Químicos,7,5,Bodega Centro
2023-08-26,F00046,Juan Pérez,Alimentos Andinos,Sellador Epóxico,L230822,4,11950,8852,Químicos,10,6,Bodega Centro
2023-08-26,F00046,Juan Pérez,Alimentos Andinos,Aditivo Antiespuma,L230826,32,5628,3607,Químicos,120,88,Bodega Centro
2023-08-26,F00047,María López,MetalMaq Ltda,Removedor de Ceras,L230824,9,8899,5182,Solventes,33,24,Bodega Norte
2023-08-26,F00047,María López,MetalMaq Ltda,Detergente Enzimático,L230828,17,6094,3723,Limpieza,33,16,Bodega Norte
2023-08-28,F00048,Pedro Ruiz,Supermercados Nova,Solvente Multiuso,L230808,17,8040,4510,Solventes,17,0,Bodega Centro
2023-08-28,F00049,Pedro Ruiz,Servicios Mineros Z,Sellador Epóxico,L230811,1,12625,9407,Químicos,3,2,Bodega Sur
2023-08-28,F00049,Pedro Ruiz,Servicios Mineros Z,Removedor de Ceras,L230813,8,9007,5329,Solventes,17,9,Bodega Sur
2023-08-28,F00049,Pedro Ruiz,Servicios Mineros Z,Aditivo Antiespuma,L230807,31,6142,3610,Químicos,168,137,Bodega Sur
2023-08-28,F00049,Pedro Ruiz,Servicios Mineros Z,Desinfectante Amonio,L230823,8,5166,3065,Limpieza,22,14,Bodega Sur
2023-08-28,F00049,Pedro Ruiz,Servicios Mineros Z,Detergente Alcalino,L230814,31,3803,2188,Limpieza,137,106,Bodega Sur
2023-08-28,F00050,Juan Pérez,Servicios Mineros Z,Solvente Multiuso,L230801,18,8138,4503,Solventes,104,86,Bodega Centro
2023-08-29,F00051,Ana Torres,Industrias Polar,Desengrasante Industrial,L230826,33,4687,3041,Químicos,99,66,Bodega Sur
2023-08-29,F00051,Ana Torres,Industrias Polar,Detergente Enzimático,L230820,51,6709,3904,Limpieza,202,151,Bodega Sur
2023-08-29,F00051,Ana Torres,Industrias Polar,Sellador Epóxico,L230822,10,11971,9142,Químicos,37,27,Bodega Sur
2023-08-29,F00051,Ana Torres,Industrias Polar,Desinfectante Amonio,L230815,2,5191,3293,Limpieza,5,3,Bodega Sur
2023-08-29,F00051,Ana Torres,Industrias Polar,Desinfectante Amonio,L230808,7,5191,3293,Limpieza,21,14,Bodega Sur
2023-08-29,F00051,Ana Torres,Industrias Polar,Solvente Multiuso,L230805,29,7105,4406,Solventes,65,36,Bodega Sur
2023-08-30,F00052,Juan Pérez,MetalMaq Ltda,Detergente Enzimático,L230805,8,6545,3663,Limpieza,34,26,Bodega Centro
2023-08-30,F00052,Juan Pérez,MetalMaq Ltda,Desinfectante Amonio,L230812,20,5525,3161,Limpieza,49,29,Bodega Centro
2023-08-30,F00052,Juan Pérez,MetalMaq Ltda,Sellador Epóxico,L230802,2,12206,8494,Químicos,7,5,Bodega Centro
2023-08-30,F00052,Juan Pérez,MetalMaq Ltda,Sellador Epóxico,L230812,4,12206,8494,Químicos,13,9,Bodega Centro
2023-08-30,F00053,Juan Pérez,MetalMaq Ltda,Aditivo Antiespuma,L230826,62,5505,3565,Químicos,92,30,Bodega Sur
2023-08-30,F00053,Juan Pérez,MetalMaq Ltda,Detergente Alcalino,L230827,12,4121,2194,Limpieza,13,1,Bodega Sur
2023-08-30,F00053,Juan Pérez,MetalMaq Ltda,Removedor de Ceras,L230818,5,9451,5274,Solventes,16,11,Bodega Sur
2023-08-30,F00054,María López,Industrias Polar,Desinfectante Amonio,L230823,4,5106,3361,Limpieza,11,7,Bodega Norte
2023-08-30,F00054,María López,Industrias Polar,Detergente Alcalino,L230805,32,3740,2259,Limpieza,56,24,Bodega Norte
2023-08-30,F00055,Pedro Ruiz,Química Valpo,Detergente Alcalino,L230807,16,4208,2296,Limpieza,33,17,Bodega Norte
2023-08-30,F00055,Pedro Ruiz,Química Valpo,Aditivo Antiespuma,L230803,52,5493,3683,Químicos,84,32,Bodega Norte
2023-08-30,F00055,Pedro Ruiz,Química Valpo,Aditivo Antiespuma,L230802,22,5493,3683,Químicos,22,0,Bodega Norte
2023-08-30,F00055,Pedro Ruiz,Química Valpo,Desengrasante Industrial,L230813,3,5150,3087,Químicos,10,7,Bodega Norte
2023-08-30,F00055,Pedro Ruiz,Química Valpo,Desengrasante Industrial,L230802,19,5150,3087,Químicos,70,51,Bodega Norte
2023-08-30,F00056,María López,Retail Pacífico,Solvente Multiuso,L230829,10,7453,4644,Solventes,30,20,Bodega Centro
2023-08-30,F00056,María López,Retail Pacífico,Removedor de Ceras,L230820,8,9503,5296,Solventes,32,24,Bodega Centro
2023-08-30,F00056,María López,Retail Pacífico,Desengrasante Industrial,L230812,41,4842,2998,Químicos,185,144,Bodega Centro
2023-08-30,F00056,María López,Retail Pacífico,Aditivo Antiespuma,L230816,28,5589,3406,Químicos,70,42,Bodega Centro
2023-08-30,F00057,Juan Pérez,Comercial FríoSur,Solvente Multiuso,L230804,16,7948,5010,Solventes,72,56,Bodega Norte
2023-08-30,F00057,Juan Pérez,Comercial FríoSur,Desengrasante Industrial,L230820,61,4977,2852,Químicos,281,220,Bodega Norte
2023-08-30,F00057,Juan Pérez,Comercial FríoSur,Removedor de Ceras,L230814,7,9485,5225,Solventes,22,15,Bodega Norte
2023-08-30,F00058,Ana Torres,Distribuidora Austral,Desengrasante Industrial,L220613,70,4676,3199,Químicos,269,199,Bodega Sur
2023-08-30,F00058,Ana Torres,Distribuidora Austral,Aditivo Antiespuma,L230816,16,5819,3678,Químicos,16,0,Bodega Sur
2023-08-31,F00059,Ana Torres,Industrias Polar,Sellador Epóxico,L230809,1,12097,9302,Químicos,3,2,Bodega Centro
2023-08-31,F00059,Ana Torres,Industrias Polar,Sellador Epóxico,L230822,9,12097,9302,Químicos,25,16,Bodega Centro
2023-08-31,F00059,Ana Torres,Industrias Polar,Solvente Multiuso,L230826,23,7211,4831,Solventes,33,10,Bodega Centro
2023-08-31,F00059,Ana Torres,Industrias Polar,Aditivo Antiespuma,L230815,43,5500,3301,Químicos,82,39,Bodega Centro
2023-09-01,F00060,Juan Pérez,Logística Andes,Solvente Multiuso,L230929,23,7734,4666,Solventes,79,56,Bodega Centro
2023-09-01,F00060,Juan Pérez,Logística Andes,Detergente Alcalino,L230916,15,3729,2428,Limpieza,41,26,Bodega Centro
2023-09-02,F00061,Pedro Ruiz,Industrias Polar,Aditivo Antiespuma,L230905,34,5654,3457,Químicos,43,9,Bodega Centro
2023-09-02,F00061,Pedro Ruiz,Industrias Polar,Desengrasante Industrial,L230921,7,5254,2892,Químicos,10,3,Bodega Centro
2023-09-02,F00061,Pedro Ruiz,Industrias Polar,Desengrasante Industrial,L230904,45,5254,2892,Químicos,153,108,Bodega Centro
2023-09-02,F00061,Pedro Ruiz,Industrias Polar,Detergente Alcalino,L230907,6,4024,2373,Limpieza,25,19,Bodega Centro
2023-09-02,F00061,Pedro Ruiz,Industrias Polar,Detergente Alcalino,L230929,1,4024,2373,Limpieza,1,0,Bodega Centro
2023-09-02,F00061,Pedro Ruiz,Industrias Polar,Sellador Epóxico,L230917,4,12609,8382,Químicos,8,4,Bodega Centro
2023-09-02,F00062,Pedro Ruiz,Alimentos Andinos,Detergente Enzimático,L230907,1,6267,4144,Limpieza,2,1,Bodega Centro
2023-09-02,F00062,Pedro Ruiz,Alimentos Andinos,Detergente Enzimático,L230911,10,6267,4144,Limpieza,25,15,Bodega Centro
2023-09-02,F00062,Pedro Ruiz,Alimentos Andinos,Sellador Epóxico,L230905,3,12882,9082,Químicos,7,4,Bodega Centro
2023-09-02,F00062,Pedro Ruiz,Alimentos Andinos,Desengrasante Industrial,L230912,73,4810,2891,Químicos,289,216,Bodega Centro
2023-09-02,F00062,Pedro Ruiz,Alimentos Andinos,Removedor de Ceras,L230913,6,8601,5090,Solventes,12,6,Bodega Centro
2023-09-02,F00063,Ana Torres,Logística Andes,Detergente Enzimático,L230921,51,5893,3894,Limpieza,148,97,Bodega Centro
2023-09-02,F00063,Ana Torres,Logística Andes,Detergente Alcalino,L230922,16,3985,2331,Limpieza,71,55,Bodega Centro
2023-09-04,F00064,Pedro Ruiz,Retail Pacífico,Sellador Epóxico,L230929,12,11988,9338,Químicos,31,19,Bodega Centro
2023-09-04,F00065,María López,Distribuidora Austral,Detergente Enzimático,L230925,41,6410,4158,Limpieza,141,100,Bodega Sur
2023-09-04,F00065,María López,Distribuidora Austral,Removedor de Ceras,L230911,9,8967,5010,Solventes,37,28,Bodega Sur
2023-09-07,F00066,Juan Pérez,Retail Pacífico,Desengrasante Industrial,L230928,34,4941,3247,Químicos,128,94,Bodega Sur
2023-09-07,F00067,Pedro Ruiz,Alimentos Andinos,Solvente Multiuso,L230911,9,7372,4458,Solventes,17,8,Bodega Centro
2023-09-11,F00068,María López,Logística Andes,Detergente Enzimático,L230927,30,6223,3833,Limpieza,149,119,Bodega Norte
2023-09-11,F00068,María López,Logística Andes,Removedor de Ceras,L230922,6,8760,5127,Solventes,19,13,Bodega Norte
2023-09-11,F00069,Pedro Ruiz,Logística Andes,Detergente Enzimático,L230929,1,6519,3873,Limpieza,2,1,Bodega Sur
2023-09-11,F00069,Pedro Ruiz,Logística Andes,Desinfectante Amonio,L230929,1,5383,3202,Limpieza,2,1,Bodega Sur
2023-09-11,F00069,Pedro Ruiz,Logística Andes,Desinfectante Amonio,L230904,1,5383,3202,Limpieza,3,2,Bodega Sur
2023-09-11,F00069,Pedro Ruiz,Logística Andes,Sellador Epóxico,L230922,1,13544,8675,Químicos,4,3,Bodega Sur
2023-09-11,F00069,Pedro Ruiz,Logística Andes,Detergente Alcalino,L230908,18,3878,2244,Limpieza,40,22,Bodega Sur
2023-09-12,F00070,Pedro Ruiz,Servicios Mineros Z,Desengrasante Industrial,L230907,22,4661,3155,Químicos,52,30,Bodega Centro
2023-09-12,F00070,Pedro Ruiz,Servicios Mineros Z,Desengrasante Industrial,L230910,30,4661,3155,Químicos,94,64,Bodega Centro
2023-09-12,F00070,Pedro Ruiz,Servicios Mineros Z,Detergente Enzimático,L230928,50,6505,4050,Limpieza,77,27,Bodega Centro
2023-09-12,F00070,Pedro Ruiz,Servicios Mineros Z,Solvente Multiuso,L230917,54,7073,4514,Solventes,191,137,Bodega Centro
2023-09-12,F00070,Pedro Ruiz,Servicios Mineros Z,Sellador Epóxico,L230917,3,12572,8511,Químicos,4,1,Bodega Centro
2023-09-12,F00071,Ana Torres,Retail Pacífico,Detergente Enzimático,L230929,46,6020,4026,Limpieza,196,150,Bodega Norte
2023-09-12,F00071,Ana Torres,Retail Pacífico,Removedor de Ceras,L230903,1,8742,5454,Solventes,2,1,Bodega Norte
2023-09-12,F00071,Ana Torres,Retail Pacífico,Removedor de Ceras,L230919,1,8742,5454,Solventes,2,1,Bodega Norte
2023-09-12,F00071,Ana Torres,Retail Pacífico,Desinfectante Amonio,L230919,5,5254,3049,Limpieza,11,6,Bodega Norte
